,,,,,,,
,TCP,,WS,,WRTCDirect,,raw
Run,transfer time (ms),throughput (Mbit/sec),transfer time (ms),throughput (Mbit/sec),transfer time (ms),throughput (Gbit/sec),throughput (Mbit/sec)
1,6124,130.6335728,11492,69.61364427,11905,67.19865603,1296.183812
2,5868,136.3326517,9867,81.07834195,6180,129.4498382,1401.921586
3,5900,135.5932203,9980,80.16032064,6484,123.3806292,1454.198332
4,5906,135.455469,9560,83.68200837,6108,130.9757695,1423.572884
5,5774,138.5521302,9115,87.76741635,6355,125.8851298,1518.442212
6,5734,139.5186606,9097,87.94107948,6183,129.387029,1449.520782
7,5780,138.4083045,9064,88.26125331,6554,122.0628624,1424.072734
8,5885,135.9388275,9067,88.23205029,6905,115.8580739,1494.935182
9,5822,137.4098248,9067,88.23205029,6316,126.6624446,1510.524822
10,5816,137.5515818,9227,86.70207001,6237,128.2667949,1497.695402
Average,5860.9,136.5394243,9553.6,84.1670235,6922.7,119.9127227,1447.106775
